Key,Type,Name,Changes,Description,Vendor,Version,Architecure Layers,Tech Stacks,Lines of Code,Maintenance,Support,Hits,Business Process,Business Using,Status,Strategy,Change Date,Follow-Up,Originated,Comments
2.01501E+13,Tools,IBM Modeler,,Advanced business process modeling and analysis tool,IBM,,,,150000,,,,,Fleet;CDF;Rail;Canada,Hold,Move Off,11/20/2014,,1/1/2011,IBM won't support; should  not use.
2.01501E+13,Tools,IBM Websphere Integration Developer (WID),,Eclipse-based tool for building SOA-based BPM and integration solutions across WebSphere Process Server; WebSphere ESB; and WebSphere Adapters,IBM,7.04.01,,,150000,,,,,Fleet;CDF;Rail;Canada,Hold,Move Off,11/20/2014,,1/1/2011,Changed based on Lewis Giannetti's XLS notes
2.01501E+13,Tools,Balsamiq,,Wireframing and mock up tool with a high focus on usability,Balsamiq,,,,150000,,,,,Fleet;CDF;Rail,Hold,Move Off,11/12/2014,,1/1/2011,Still in use? Ann will see if it's still in use.
2.01501E+13,Tools,StarTeam,,Revision control system used in software development; especially when a project involves multiple teams in different locations,Borland,,,,2000000,,,,,Fleet;CDF;Rail,Move Off,,12/9/2014,N,1/1/2008,
2.01501E+13,Tools,OpenGE,Application,Version control system,GE,,,,2000000,,,,,Fleet;CDF;Rail;Capital HQ,Adopt,,12/9/2014,N,1/1/2010,
2.01501E+13,Tools,Artifactory,"Not open source (Maven), <2.5 move off",Open source repository manager. Host/proxy for Maven; Ant; Gradle; Ivy; NuGet & RubyGems with fine-grained permission control,Open Source,,,,100000,,,,,Fleet;CDF;Rail,Adopt,,10/29/2014,,1/1/2012,iPas version control
2.01501E+13,Tools,Cruise Control,,Java -based framework for a continuous build process,Cruise Control,,,,150000,,,,,Fleet;CDF;Rail,Hold,Move Off,10/29/2014,,1/1/2010,
2.01501E+13,Tools,Jenkins,1.6+,Open-source continuous integration software tool written in the Java programming language designed to test and report on isolated changes in a larger code base in real-time,Open Source,,,,4000000,,,,,Fleet;CDF;Rail;GECA,Adopt,,12/4/2014,,1/1/2012,
2.01501E+13,Tools,Team City,,Integrated development platform,Team City,,,,200000,,,,,GECA;HQ,Hold,Move Off,12/18/2014,N,1/1/2010,What is the standard? (Jenkins; Bamboo; Team City; GE Corporate home grown). Standard should be Jenkins (Brian 12/18/2014)
2.01501E+13,Tools,Eclipse,Luna+,Developer IDE,Open Source,,,,2000000,,,,Ordering,Fleet;CDF;Rail,Adopt,,11/20/2014,,1/1/2010,
2.01501E+13,Tools,Intellej,,Java IDE,Jetbrains,,,,100000,,,,,Capital HQ;GECA HQ,Adopt,,12/4/2014,,1/1/2012,
2.01501E+13,Tools,Ant,1.9+,Java-based build tool,Open Source,,,,100000,,,,,Fleet;CDF;Rail,Hold,,10/29/2014,,1/1/2010,Further review; CD needs Maven builds
2.01501E+13,Tools,NAnt,,Open source software tool for automating software build processes,Open Source,,,,100000,,,,,,Adopt,,1/8/2015,N,1/1/2011,Used by .Net
2.01501E+13,Tools,Maven,3.3+,Build automation tool used primarily for Java projects,Apache,,,,100000,,,,,Fleet;GECA,Adopt,,12/4/2014,,1/1/2012,
2.01501E+13,Tools,Altova Mission Kit,,Development suite of enterprise-class XML; SQL; and UML tools for information architects and application developers,Altova,,,,100000,,,,,,Hold,,10/29/2014,,1/1/2012,Lewis: Using all the time; EA Team using (XML Spy) help develop; Needs further review to determine status.
2.01501E+13,Tools,Cobertura,,Free Java tool that calculates the percentage of code Assessed by tests,Open Source,,,,100000,,,,,,Hold,,10/30/2014,,1/1/2011,JaCoCo should be used in place of Cobertura (currently the tool of choice used in Continuous Delivery)
2.01501E+13,Tools,Load Runner,,Load testing software tool helps analyze and prevent application performance problems and detect bottlenecks before deployment or upgrade,HP,,,,100000,,,,,GECA;Capital HQ,Adopt,,12/4/2014,,1/1/2008,
2.01501E+13,Tools,QTP (QuickTest Professional),,Provides functional and regression testing automation,HP,,,,100000,,,,,QA COE;Europe,Hold,,1/8/2015,N,1/1/2011,Lewis sent info
2.01501E+13,Tools,SOAPUI,5+,Open-source web service testing application for service-oriented architectures (SOA) and representational state transfers (REST),Open Source,,,,200000,,,,,GECA,Adopt,,12/9/2014,N,1/1/2010,
2.01501E+13,Tools,Selenium,"Framework, web driver adopt ",ForeSee's products capture customer experience (CX) insights (typically via surveys) across Web; mobile; contact center; and retail locations,Open Source,,,,100000,,,,,,Adopt,,12/9/2014,N,1/1/2012,
2.01501E+13,Tools,JUnit,"Framework,  4+",Open source framework designed for the purpose of writing and running tests in the Java programming language,Open Source,,,,200000,,,,,Fleet;GECA,Adopt,,12/4/2014,,1/1/2010,
2.01501E+13,Tools,JMeter,"Open source, 2+",Load testing tool for analyzing and measuring the performance of a variety of services; with a focus on web applications,Apache,,,,100000,,,,,HQ,Adopt,,12/4/2014,,1/1/2012,
2.01501E+13,Tools,TestNG,"Framework, 6+",Testing framework for the Java programming language inspired from JUnit and NUnit. The design goal of TestNG is to cover all categories of tests: unit; functional; end-to-end; integration; etc.; with more powerful and easy-to-use functionalities,Open Source,,,,100000,,,,,Fleet;CDF;Rail,Adopt,,1/8/2015,N,1/1/2012,
2.01501E+13,Tools,NUnit,Framework,Open source unit testing framework for Microsoft .NET. It serves the same purpose as JUnit does in the Java world,Open Source,,,,100000,,,,,,Adopt,,12/4/2014,,1/1/2012,
2.01501E+13,Tools,AutoIt,Language,Open-source basic-like script language for automatisation in Microsoft Windows,Open Source,,,,100000,,,,,,Hold,,1/8/2015,Y,1/1/2012,Need followup to see where it's used - testers use (ask Brad Arnold)
2.01501E+13,Tools,Axure,,RP Pro is a wireframing; rapid prototyping; and specification software tool aimed at web and desktop applications,Open Source,,,,100000,,,,,,Adopt,,10/29/2014,,1/1/2012,Used by UX design teams for wireframes
2.01501E+13,Tools,WebRatio,,WebRatio is an innovative Model-Driven development environment for building business applications in a Web/SOA environment,WebRatio,,,,500000,,,,Servicing,Fleet,Hold,,1/8/2015,N,1/1/2013,BPM; HTML5; JS preferred
2.01501E+13,Tools,Webtrends,,Provides web; social; and mobile analytics and other software solutions related to marketing intelligence,Webtrends,,,,300000,,,,,,Hold,,1/8/2015,N,1/1/2010,More replaced by Splunk.
2.01501E+13,Tools,Omniture,,ForeSee's products capture customer experience (CX) insights (typically via surveys) across Web; mobile; contact center; and retail locations,Adobe,,,,200000,,,,,,Adopt,,12/9/2014,N,1/1/2011,
2.01501E+13,Tools,Toad,,Tool for Oracle Application Developers (TOAD) is a software application from Dell that IT personnel use to develop and administer various relational databases using SQL,Quest Software,,,,100000,,,,,,Hold,,1/8/2015,N,1/1/2009,Oracle SQL (free) or PL SQL Developer (license) preferred (add these tools later)
2.01501E+13,Tools,Photoshop,,Raster graphics editor developed and published by Adobe Systems for Windows and OS X,Adobe,,,,100000,,,,,,Adopt,,12/9/2014,N,1/1/2012,
2.01501E+13,Tools,ForeSee,,ForeSee's products capture customer experience (CX) insights (typically via surveys) across Web; mobile; contact center; and retail locations,ForeSee,,,,100000,,,,,Fleet,Hold,,1/8/2015,Y,1/1/2012,Common in industry.  MyAccounts and CDF using Opinion Lab. Chris to follow-up. Used in original MFO. May be used by Genius?
2.01501E+13,Tools,OpinionLab,,Pioneer and global leader in omnichannel Voice of Customer (VoC) feedback innovation with over a decade of success and a dozen patents on major VoC advancements,OpinionLab,,,,100000,,,,,CDF,Hold,,1/8/2015,Y,1/1/2012,Where is it used? Comms CDF. Should consoidate to 1 standard. Chris/Ann to follow-up
2.01501E+13,Tools,Rally,,Agile project story/task setup and tracking tool,Rally,,,,100000,,,,,Fleet;GECA;Global,Adopt,,12/9/2014,N,1/1/2012,
2.01501E+13,Tools,Greenhopper,,Integrated; hosted software development suite,Open Source,,,,100000,,,,,,Move Off,,11/20/2014,,1/1/2013,Devcloud; should use Rally instead.
2.01501E+13,Platforms,JBoss-GECA,6+,Application server authored by JBoss; now developed by Red Hat. WildFly is written in Java; and implements the Java Platform; Enterprise Edition (Java EE) specification,Red Hat,,,,800000,,,,,Fleet;GECA,Hold,Move Off,12/4/2014,,1/1/2011,Use Websphere. Not a Move Off strategy for Global
2.01501E+13,Platforms,Weblogic,11+,Java EE application server currently developed by Oracle Corporation. Oracle acquired WebLogic Server when it purchased BEA Systems in 2008,Oracle,,,,1500000,,,,,,Move Off,,1/8/2015,N,1/1/2001,US should use IPAS Websphere
2.01501E+13,Platforms,Gigaspaces XAP,9+,GigaSpaces eXtreme Application Platform (XAP); an in-memory computing software platform; is a practical implementation of Space-based architecture (SBA) that partitions applications into self-sufficient processing units,Gigaspaces,,,,500000,,,,,Fleet,Hold,,11/20/2014,,1/1/2009,Used for Fleet Montana COE services; and Ordering Idle Assets; verify specs.
2.01501E+13,Platforms,MQ/MQ Broker,7+,MQ broker provides delivery services for an MQ messaging system,IBM,,,,500000,,,,Ordering;Invoicing;Servicing,Fleet;GECA,Adopt,,12/4/2014,,1/1/2007,
2.01501E+13,Platforms,Tibco BWF,,Solution that orchestrates business assets and activities into business work flow processes,Tibco,,,,800000,,,,,Fleet,Hold,Move Off,12/9/2014,N,1/1/2007,
2.01501E+13,Platforms,Tibco Substation,,Tibco mainframe communications software,Tibco,,,,100000,,,,,Fleet,Move Off,,1/8/2015,N,1/1/2008,
2.01501E+13,Platforms,Apache Web,2.2+,Web Server,Apache,,,,1500000,,,,,Fleet,Adopt,,10/29/2014,,1/1/2010,Different Versions tracking? Address after automated version pulled in from CD scans. Other information sources (Gartner; etc...)
2.01501E+13,Platforms,iPlanet Web,,Web Server,Oracle,,,,1500000,,,,,,Hold,Move Off,12/4/2014,,1/1/2010,
2.01501E+13,Platforms,Oracle (Sun) LDAP,"Tool, 10g+",User Store Directory Server (LDAP Protocol),Oracle,,,,500000,,,,Servicing,Fleet;Rail;CDF;GECA;Capital HQ,Adopt,,12/9/2014,N,1/1/2001,
2.01501E+13,Platforms,Siteminder,"Tool, 12+",Enterprise-class secure single sign-on (SSO) and flexible identity Assess management so that your organization can authenticate users and control Assess to Web applications and portals. Across Internet; intranet and cloud applications,CA,,,,500000,,,,Invoicing,Fleet;CDF;Rail;GECA;Global,Adopt,,12/9/2014,N,1/1/2002,
2.01501E+13,Platforms,Attivio,"Tool, 4+", unified information Assess platform that lets users find all types of information with a single query and analyze data extracted from text along with traditional data,Attivio,,,,200000,,,,Servicing,Fleet;Bank;Marketing,Trial,Adopt,10/29/2014,,1/1/2012,Also used in BI
2.01501E+13,Platforms,Goldengate,Tool,Real-time data integration,Oracle,,,,500000,,,,,,Adopt,,11/20/2014,,1/1/2009,
2.01501E+13,Platforms,Informatica Power Center,Tool,Data integration ETL tool,Informatica,,,,1000000,,,,,,Adopt,,12/4/2014,,1/1/2005,
2.01501E+13,Platforms,ESRI ArchServer GIS,Tool,Mapping and spacial analysis server/tool,ESRI,,,,500000,,,,Servicing,Fleet;CDF;Franchise,Adopt,,11/20/2014,,1/1/2010,Smartcharts using; input from Gustavo. Mapping demographics primary platform. Tightly coupled with DoJo.
2.01501E+13,Platforms,Tibco Portal,,Dynamic portal creation,Tibco,,,,50000,,,,,,Hold,Move Off,12/9/2014,N,1/1/2008,
2.01501E+13,Platforms,Weblogic Portal,,Dynamic portal creation,Weblogic,,,,50000,,,,,,Move Off,,12/9/2014,N,1/1/2008,
2.01501E+13,Platforms,Oracle DB,11g,Object-relational database management system providing Assess using SQL,Oracle,,,,5000000,,,,Ordering;Invoicing;Servicing,Fleet;Rail;CDF;GECA;Capital HQ,Adopt,,12/9/2014,N,1/1/2000,
2.01501E+13,Platforms,SQL Server,,Relational database management system developed by Microsoft,Microsoft,,,,1500000,,,,,GECA,Hold,,12/9/2014,N,1/1/2005,
2.01501E+13,Platforms,Salesforce.com CRM,,Cloud based Customer Relationship Management (CRM) provided by Salesforce.com,Salesforce.com,,,,1000000,,,,,GECA;Global,Adopt,,12/9/2014,N,1/1/2010,
2.01501E+13,Platforms,MongoDB,3+,"MongoDB is a cross-platform document-oriented database system. Classified as a ""NoSQL"" database; MongoDB eschews the traditional table-based relational database structure in favor of JSON-like documents with dynamic schemas; making the integration of data in certain types of applications easier",MongoDB,,,,300000,,,,,Fleet;CDF;Rail;GECA;Capital HQ,Adopt,,12/4/2014,,1/1/2012,
2.01501E+13,Platforms,Drools,"Tool, 6+",Business rule management system (BRMS) with a forward and backward chaining inference based rules engine; more correctly known as a production rule system; using an enhanced implementation of the Rete algorithm,Red Hat,,,,500000,,,,,Fleet,Assess,,11/20/2014,,1/1/2011,Changed status based on Lewis Giannetti's XLS notes. Fleet uses ODM platform. Maybe use ODM as single rule engine (future decision - licensed based on usage)?
2.01501E+13,Platforms,OBIEE,,Oracle Business Intelligence Foundation Suite (OBIEE+ and Essbase) is a complete; open; and architecturally unified business intelligence system for the enterprise that delivers abilities for reporting; ad hoc query and analysis; online analytical processing (OLAP); dashboards; and scorecards,Oracle,,,,1000000,,,,,,Adopt,,12/4/2014,,1/1/2011,
2.01501E+13,Platforms,BusinessObjects,Move off?,BusinessObjects BI (also known as BO or BOBJ) is a reporting suite of front-end applications that allow business users to view; sort and analyze business intelligence data.,Business Objects,,,,1000000,,,,,,Adopt,,12/10/2014,N,1/1/2008,Used everywhere
2.01501E+13,Platforms,Oracle Web Center,Tool,Dynamic web content management and presentation.,Oracle,,,,500000,,,,Servicing,Fleet;Leasing Source,Adopt,,12/9/2014,N,1/1/2010,Stress proper use/implementation. Oracle Content Manager (Fatwire changed name to OCM). May use Adobe Exerience Manager (Eric Hjerpe already purchased at Capital HQ level) - don't pull trigger until discussed with Brian. ECMS evolution (Interwoven Teamsite)
2.01501E+13,Platforms,LifeRay-GECA,,Liferay Portal is a web platform with features commonly required for the development of websites and portals. Liferay includes a built-in web content management system allowing users to build websites and portals as an assembly of themes; pages; portlets/gadgets and a common navigation,Open Source,,,,500000,,,,,,Move Off,,1/8/2015,N,1/1/2011,Is being adopted in UK
2.01501E+13,Platforms,Darstran,Tool,Real time data integration between oracle and mainframe IDMS,Microsoft,,,,200000,,,,,Fleet,Adopt,,10/29/2014,,1/1/2012,Fleet consolidate to GoldenGate?
2.01501E+13,Platforms,QlikView,,QlikView is a flexible Business Intelligence reporting platform for turning data into knowledge,QlikView,,,,200000,,,,,EF,Hold,,12/10/2014,N,1/1/2010,Used in EF; and some other cases. Strategic tool is Spotfire.
2.01501E+13,Platforms,GWT,Tool (front end framework),Google Web Toolkit is an open source set of tools that allows web developers to create and maintain complex JavaScript front-end applications in Java,Open Source,,,,300000,,,,,Fleet;Loan,Move Off,,1/21/2015,N,1/1/2011,Use Javascript/HTML5 instead. Used in BEX (Booking Express - ITG 392946) - How do we get teams to move off old technology when they're not budgeting for it? Brian will draft statement about GWT move off; and review with the ARB team.
2.01501E+13,Platforms,Oracle e-Bus Suite,Tool,Oracle's E-Business Suite (also known as Applications/Apps or EB-Suite/EBS) consists of a collection of enterprise resource planning (ERP); customer relationship management (CRM); and supply-chain management (SCM) computer applications either developed or acquired by Oracle,Oracle,,,,200000,,,,,,Hold,,1/8/2015,N,1/1/2009,Where is it used? HFS? Realesate
2.01501E+13,Platforms,Cast Iron,Tool,Web service orchestration tool,IBM,,,,200000,,,,,,Adopt,,10/29/2014,,1/1/2011,Used in cloud apps
2.01501E+13,Platforms,WSRR,Tool,IBM WebSphere Service Registry and Repository[4] (WSRR) is a service registry for use in a Service-oriented architecture,IBM,,,,300000,,,,,,Move Off,,12/9/2014,N,1/1/2012,Never utilized; get rid of licences in 2015
2.01501E+13,Platforms,Hadoop,Framework,Apache Hadoop is an open-source software framework that supports data-intensive distributed applications licensed under the Apache v2 license,Apache,,,,100000,,,,,,Adopt,,11/20/2014,,1/1/2012,
2.01501E+13,Platforms,SAS,Tool,SAS (Statistical Analysis System) is a software suite developed by SAS Institute for advanced analytics; business intelligence; data management; and predictive analytics,SAS,,,,500000,,,,,GECA Risk;HQ Risk,Adopt,,12/9/2014,N,1/1/2010,
2.01501E+13,Platforms,Birt,Tool,Open source software project that provides reporting and business intelligence capabilities for rich client and web applications; especially those based on Java and Java EE,Open Source,,,,50000,,,,Ordering,Fleet,Hold,,11/13/2014,,1/1/2012,Is Fleet the only user? Other BI tools more prevelent. Who's using this?
2.01501E+13,Platforms,FusionCharts,Tool,Data visualization charting,Infosoft,,,,200000,,,,,,Move Off,,11/20/2014,,1/1/2011,Hicharts should be used (have enterprise license for commercial use).
2.01501E+13,Platforms,Oracle Spacial,,consists of a set of object data types; type methods; and operators; functions; and procedures that use these types,Oracle,,,,400000,,,,,Fleet,Adopt,,1/8/2015,N,1/1/2011,Where is it used? Used in Telematics. 
2.01501E+13,Platforms,Informatica DQ,,Informatica Data Quality extends the existing data quality capabilities of the Informatica Platform to deliver pervasive data quality to all stakeholders; all projects; and all data domains for all projects and all business applications—on premise or in the cloud—using a single; unified platform,Informatica,,,,300000,,,,,,Adopt,,12/4/2014,,1/1/2010,Data Warehouse used; new tool ATACCAMA
2.01501E+13,Platforms,Informatica Address Doctor,,COE Street address validation and correction webservice (US and Canada),Informatica,,,,100000,,,,,Fleet,Adopt,,1/8/2015,N,1/1/2011,Follow-up on cost; reconcile/consolidate all address validation/correction; Pitney Bose tool used by Canada
2.01501E+13,Platforms,Spotfire,,Visual data analysis reporting tool,Tibco,,,,100000,,,,,GECA;HQ,Adopt,,12/10/2014,N,1/1/2012,
2.01501E+13,Platforms,Wordpress,,Open source blogging tool and a content-management system based on PHP and MySQL; which runs on a web hosting service,Open Source,,,,200000,,,,,GECA,Adopt,,12/9/2014,N,1/1/2010,Internal use. Peter's team? Content server is Oracle's version.
2.01501E+13,Platforms,Tomcat,7+,Lightweight application server,Apache,OS,,,1000000,,,,,,Hold,,1/8/2015,N,1/1/2011,US should use IPAS. International widely adopted.
2.01501E+13,Platforms,Jasper,,Open source Java reporting tool that can write to a variety of targets; such as: screen; a printer; into PDF; HTML; Microsoft Excel; RTF; ODT; Comma-separated values or XML files,Open Source,,,,50000,,,,,Fleet,Hold,,1/8/2015,N,1/1/2011,BI Follow-up to see if status should change
2.01501E+13,Platforms,Terradata Decision Support,,Analytic data platforms; applications and related services,Terradata,,,,800000,,,,,Franchise,Move Off,,12/9/2014,N,1/1/2012,Moving off by Q1
2.01501E+13,Platforms,ESRI Business Analyst,,Esri introduced ArcView Business Analyst in response to the need in the business industry for a product that combines GIS analysis tools with high-quality data from industry-leading data providers,ESRI,,,,300000,,,,,,Adopt,,11/20/2014,,1/1/2012,Gets demographics
2.01501E+13,Platforms,Appworx,Tool,Job scheduling package that schedules programs/jobs for IT; the operating system; and/or functional processes. AppWorx makes it easier to manage many different job schedules,UC4,,,,1000000,,,,Ordering;Invoicing;Servicing,Fleet,Adopt,,10/29/2014,,1/1/2004,
2.01501E+13,Platforms,IDMS,,IDMS is primarily a network database management system for mainframes. It was first developed at B.F. Goodrich and later marketed by Cullinane Database Systems. Since 1989 the product has been owned by Computer Associates; who renamed it Advantage CA-IDMS and later simply to CA IDMS,CA,,,,10000000,,,,,Fleet,Hold,Move Off,1/21/2015,N,1/1/2000,
2.01501E+13,Platforms,ZOS,,Mainframe operating system,IBM,1.9,,,10000000,,,,,Fleet;CDF,Hold,Move Off,12/9/2014,N,1/1/2000,
2.01501E+13,Languages,CICS,,Mainframe development language,CA,,,,1000000,,,,,Fleet;CDF,Hold,Move Off,1/8/2015,N,1/1/1995,
2.01501E+13,Tools,JSON,"Language, 3+",JSON or JavaScript Object Notation; is an open standard format that uses human-readable text to transmit data objects consisting of attribute–value pairs. It is used primarily to transmit data between a server and web application; as an alternative to XML.,,,,,200000,,,,Ordering,Fleet;CDF;Rail;GECA,Adopt,,12/4/2014,,1/1/2012,
2.01501E+13,Tools,BackBone JS,,Backbone.js is a JavaScript library with a RESTful JSON interface and is based on the model–view–presenter (MVP) application design paradigm. Backbone is known for being lightweight; as its only dependency is on one JavaScript library; Underscore.js. It is designed for developing single-page web applications; and for keeping various parts of web applications (e.g. multiple clients and the server) synchronized. Backbone was created by Jeremy Ashkenas; who is also known for CoffeeScript.,,,,,20000,,,,,Fleet;CDF,Adopt,,10/29/2014,,1/1/2014,Extensively used; recommended standard front end tech stack
2.01501E+13,Tools,JSoup,,jsoup is a Java library for working with real-world HTML. It provides a very convenient API for extracting and manipulating data; using the best of DOM; CSS; and jquery-like methods.,Open Source,,,,30000,,,,,Fleet;CDF;Rail,Adopt,,12/4/2014,,1/1/2013,
2.01501E+13,Tools,WebDriver,,The WebDriver API is defined by a set of interfaces to discover and manipulate DOM elements on a page; and to control the behaviour of the containing browser.,Selenium,,,,20000,,,,,Fleet;CDF;Rail,Adopt,,1/8/2015,N,1/1/2014,Used in Rainbow
2.01501E+13,Tools,Maximo,,IBM Maximo Asset Management is an enterprise asset management (EAM) software solution product produced by IBM. It is a solution which is used to operate; maintain and dispose of enterprise assets.,IBM,,,,20000,,,,Asset Management,Rail;Transportation;Power;Water,Assess,,12/8/2014,N,1/1/2012,Deployed on IPAS. Wendy follow-up with Peter Chung 12/5/2014 - Rail is currently in the process of rolling out Maximo for asset management of our rail cars and the commodities/materials that the rail cars are carrying. There are several other businesses using Maximo - GE Transportation and Power and Water are a couple of the larger users of Maximo.  I believe they are using it for asset and plant management functions.
2.01501E+13,Tools,DataPower,,Authentication; Authorization; Auditing; secure communications between appliances.,IBM,,,,100000,,,,,Fleet,Adopt,,10/29/2014,,10/29/2014,GM Onstar integration
2.01501E+13,Tools,JaCoCo,3.5+,JaCoCo is a free code coverage library for Java; which has been created by the EclEmma team based on the lessons learned from using and integration existing libraries for many years.,,,,,50000,,,,,Fleet;CDF;Rail;HQ;GECA,Adopt,,12/4/2014,,6/1/2013,Should be used in place of Cobertura
2.01501E+13,Tools,JSLint/JSHint,,JSLint is a JavaScript program that looks for problems in JavaScript programs. It is a code quality tool. JSLint takes a JavaScript source and scans it. If it finds a problem; it returns a message describing the problem and an approximate location within the source. The problem is not necessarily a syntax error; although it often is. JSLint looks at some style conventions as well as structural problems. It does not prove that your program is correct. It just provides another set of eyes to help spot problems. JSLint can operate on JavaScript source or JSON text.,Open Source,,,,50000,,,,,Fleet;GECA,Adopt,,12/4/2014,,1/1/2014,Chris Thorne created a JavaScript code coverage template using JSLint; Jasmine; and Karma.
